symbol,name_cn,exchange,currency,lot_size,total_shares,circulating_shares,hk_shares,eps,eps_ttm,bps,dividend_yield,stock_derivatives,board
002969.SZ,嘉美包装,SZSE,CNY,100,1076520268,1076520268,0,0.1911,0.1376565116468388,2.2534531114187994,0.0264287760348977,[],SZMainConnect
002970.SZ,锐明技术,SZSE,CNY,100,180637300,180637300,0,1.66,1.9030843133727087,10.64884427651432,1.0879199296047937,[],SZMainConnect
002971.SZ,和远气体,SZSE,CNY,100,211755000,208000000,0,0.35,0.3403844811692758,7.530566419069207,0.099754433189299,[],SZMainConnect
002972.SZ,科安达,SZSE,CNY,100,246008800,246008800,0,0.3569,0.3223524986504548,4.880873537288097,0.2985772460172156,[],SZMainNonConnect
002973.SZ,侨银股份,SZSE,CNY,100,408665673,408665673,0,0.71,0.4817686889742756,6.163313132003627,0.0999999730831319,[],SZMainConnect
002975.SZ,博杰股份,SZSE,CNY,100,160302593,158502693,0,0.16,0.7887659295068296,14.007757222367577,0.2186436207554047,[],SZMainConnect
002976.SZ,瑞玛精密,SZSE,CNY,100,149700687,122737100,0,-0.21,0.0089887079142128,9.900639408354886,0.0,[],SZMainNonConnect
002977.SZ,天箭科技,SZSE,CNY,100,120120000,120120000,0,0.13,-0.1393453161838162,8.714629526806526,0.18,[],SZMainConnect
002978.SZ,安宁股份,SZSE,CNY,100,471989958,471989958,0,2.1282,1.6989758617279735,18.085452021438982,0.4990319709301951,[],SZMainConnect
002979.SZ,雷赛智能,SZSE,CNY,100,314140847,306808847,0,0.64,0.6886840167907232,5.23166215614743,0.3103574900592281,[],SZMainConnect
002980.SZ,华盛昌,SZSE,CNY,100,189401160,187489944,0,0.8143,0.4933293829351415,5.698710320781562,0.5193968294597562,[],SZMainConnect
002981.SZ,朝阳科技,SZSE,CNY,100,137486115,135253115,0,0.84,0.9902501362410306,8.188316337980748,0.2557771735713094,[],SZMainNonConnect
002982.SZ,湘佳股份,SZSE,CNY,100,203193967,199689767,0,0.4929,0.1548229307418364,7.806790646397489,0.0714285518132534,[],SZMainConnect
002983.SZ,芯瑞达,SZSE,CNY,100,223665021,221913831,0,0.58,0.6158157652644309,6.140406748849656,0.3992705598342085,[],SZMainNonConnect
002984.SZ,森麒麟,SZSE,CNY,100,1035985428,1035985428,0,2.04,1.4243317326274207,13.060915031461233,0.5898243999142428,[],SZMainConnect
002985.SZ,北摩高科,SZSE,CNY,100,331853600,331853600,0,0.05,0.1821394002355255,7.884507840505572,0.023,[],SZMainConnect
002986.SZ,宇新股份,SZSE,CNY,100,380121392,380121392,0,0.812,-0.0513001597921119,10.026863128292447,0.3026665902559885,[],SZMainConnect
002987.SZ,京北方,SZSE,CNY,100,867460152,867047572,0,0.3571,0.3798719031188421,3.3577632593318247,0.1786182730039685,[],SZMainConnect
002988.SZ,豪美新材,SZSE,CNY,100,249771428,249771428,0,0.84,0.723669161710522,10.72930711266142,0.1575898706876913,[],SZMainConnect
002989.SZ,中天精装,SZSE,CNY,100,201607342,201607342,0,-2.36,-1.892559547310534,7.423386111355012,0.0,[],SZMainConnect
002990.SZ,盛视科技,SZSE,CNY,100,261852138,256008938,0,0.69,0.4817908605351926,9.3438826544544,0.2095631217645433,[],SZMainConnect
002991.SZ,甘源食品,SZSE,CNY,100,93215831,93215831,0,4.14,2.737059749110642,17.819564990736392,2.3232742846008634,[],SZMainConnect
002992.SZ,宝明科技,SZSE,CNY,100,180868635,180868635,0,-0.43,-0.0437900026170928,4.053480816892327,0.0,[],SZMainConnect
002993.SZ,奥海科技,SZSE,CNY,100,276040000,276040000,0,1.68,1.894346672438777,17.921534372880743,1.4838375597739457,[],SZMainConnect
002995.SZ,天地在线,SZSE,CNY,100,177454480,177454480,0,-0.3806,-0.4558987302546546,5.0061785470843,0.0,[],SZMainNonConnect
002996.SZ,顺博合金,SZSE,CNY,100,669436836,669436836,0,0.1,0.2177067680362901,4.80070176849366,0.0493572451845181,[],SZMainConnect
002997.SZ,瑞鹄模具,SZSE,CNY,100,209321325,209321325,0,1.7,2.1626744873700754,11.767314483414435,0.45,[],SZMainConnect
002998.SZ,优彩资源,SZSE,CNY,100,352092361,349697461,0,0.25,0.1061290918492833,4.78484510256103,0.4805067772543921,[],SZMainNonConnect
002999.SZ,天禾股份,SZSE,CNY,100,347592000,347592000,0,0.06,0.1351142805070312,3.4483250150463762,0.124,[],SZMainNonConnect
003000.SZ,劲仔食品,SZSE,CNY,100,450894159,402995000,0,0.6546,0.5532214203289336,2.9527009893246365,0.3953306115016673,[],SZMainConnect
003001.SZ,中岩大地,SZSE,CNY,100,174348474,174348474,0,0.3493,0.2791790682377868,6.878942565967053,0.2005908319564644,[],SZMainConnect
003002.SZ,壶化股份,SZSE,CNY,100,200000000,200000000,0,0.7,0.90996454005,7.49940559225,0.149355,[],SZMainConnect
003003.SZ,天元股份,SZSE,CNY,100,176720000,176720000,0,0.36,0.3568253578542327,7.3113949171570844,0.1974290402897239,[],SZMainNonConnect
003004.SZ,*ST声迅,SZSE,CNY,100,81862268,81862268,0,-0.63,-0.3259158710335267,7.846699657282889,0.0,[],SZMainNonConnect
003005.SZ,竞业达,SZSE,CNY,100,231388691,231388691,0,0.2036,-0.0659112829330108,7.767197056877771,0.2285714293616882,[],SZMainConnect
003006.SZ,百亚股份,SZSE,CNY,100,429647790,429647790,0,0.67,0.6836187380365671,3.418156853547414,0.5495360851268432,[],SZMainConnect
003007.SZ,直真科技,SZSE,CNY,100,101820000,101820000,0,0.32,0.2566124389118051,7.848948137988607,0.06487,[],SZMainNonConnect
